,close,date,high,low,open,quoteVolume,volume,weightedAverage
3563,444.54124,1450022400,444.54124,434.72500663,437.50001107,1.9089276,835.70105767,437.7856225
3564,444.99999993,1450029600,444.99999993,438,439,1.71805625,764.15500113,444.77880228
3565,432.09509922,1450036800,439.99999993,432.09509922,439.99999993,4.32131671,1900.57005828,439.81272048
3566,433.00000202,1450044000,444.11281999,433.00000202,438.99999993,0.31675132,139.87004456,441.57683245
3567,431.00020202,1450051200,437.35598691,431.00008085,433.04088808,0.35521331,154.26036545,434.27529632
3568,432.00012917,1450058400,434.05619991,431.00007782,434.05619991,0.49280886,213.24234902,432.70802604
3569,437,1450065600,441.613951,436.000001,439.05619995,0.02980324,13.02663178,437.08777243
3570,436.00000908,1450072800,436.00000908,436.000001,436.000001,0.53713351,234.19021302,436.00000497
3571,441.613951,1450080000,441.613951,438.46195824,438.99,0.85663862,376.73071091,439.7778738
3572,445,1450087200,445,437.42447136,440.20689994,1.3000556,575.91121928,442.98968389
3573,444.99989999,1450094400,444.99989999,444.99799999,444.99799999,0.59341401,264.06809188,444.99807459
3574,447.81999973,1450101600,447.81999983,444.99989999,444.99989999,0.41654364,185.78411142,446.01355915
3575,442.00032,1450108800,447.8179789,442.00002323,444.81995955,0.28815458,127.56669322,442.70229271
3576,447.99998999,1450116000,447.99998999,442.00042098,447.81797868,2.3386784,1035.29726709,442.68475182
3577,442.00004645,1450123200,449.49498,442.00004645,447.42037999,1.18220269,529.19775973,447.63707967
3578,443.09999999,1450130400,447.34447989,440.00004341,447.34447989,1.06481203,471.60324006,442.8981142
3579,453.4215699,1450137600,455.0086946,442.99999993,443.00000009,7.32002359,3278.88068051,447.93307565
3580,457.87600083,1450144800,457.87600083,446.49307329,446.4930733,1.3151251,597.46807506,454.30512661
3581,457.49999902,1450152000,457.87600279,452.0000495,452.26350453,2.30267652,1045.6312946,454.09387098
3582,462.4999999,1450159200,463.84374915,455.49,455.49,3.59249574,1648.02349666,458.74055696
3583,457.38002948,1450166400,462.5,457.38002912,462.48999999,1.23708148,570.42234685,461.10329519
3584,459.45875047,1450173600,460.66752661,452.26350411,452.51003935,8.14719219,3729.14005296,457.72088911
3585,458.76997358,1450180800,460.44379999,457.38002912,459.45468503,0.57584949,264.58531047,459.46955769
3586,461.5,1450188000,463.32596986,452.00003001,457.78611484,2.68302416,1227.77243444,457.60767001
3587,461.19999999,1450195200,461.49999993,455.24076001,461.4999,1.55738782,715.78446023,459.60579056
3588,457.000001,1450202400,461.19999999,454.70406836,454.70406836,0.00273434,1.25971178,460.70049244
3589,462.4,1450209600,462.4,457.000001,459.000001,1.91648233,883.109634,460.79716999
3590,465.15045061,1450216800,465.15045069,461.50000093,462.39999997,2.59104698,1199.52622983,462.95039769
3591,465.60001614,1450224000,468.49999999,461.50000303,465.15045049,1.88963772,877.07008552,464.14721522
3592,447.48993736,1450231200,465.60001611,447.48993736,465.60001611,1.57169552,714.08584272,454.34108174
3593,455.28429325,1450238400,460.33978218,445.37776733,446.53108499,3.30192216,1489.27573563,451.03296306
3594,455.54090751,1450245600,456.99999996,448.00020088,448.00020088,0.58937658,267.51446393,453.89395
3595,462.1,1450252800,462.1,455.5409075,456.99999993,0.79869054,366.20641535,458.50851739
3596,457.00024225,1450260000,464.02223992,457.00002018,458.01221403,2.17766728,995.26937173,457.03463558
3597,457.3000777,1450267200,457.3000777,457.3000777,457.3000777,0.00410263,1.87613301,457.3000777
3598,454.99999993,1450274400,455.54091556,448.0577088,455.54091556,2.79323283,1266.98152295,453.58965759
3599,454.26349883,1450281600,455,454.000001,454.99999993,1.96498219,893.5437278,454.733754
3600,448.21352462,1450288800,456.38489648,445,451.0001,8.14582616,3668.65580069,450.3724642
3601,456.38489648,1450296000,456.38489648,453.38489644,453.38489644,0.24919576,113.41276586,455.11515069
3602,453.000001,1450303200,455,451.16228056,455,0.37880386,171.30807758,452.23424488
3603,451.99,1450310400,456.38489647,451.99,455.99999999,0.01709306,7.80040711,456.349367
3604,451,1450317600,456.38489647,451,453.27650815,0.87551469,395.11999378,451.30024464
3605,455,1450324800,455,451.80161029,452.76240343,0.11941739,54.04760023,452.59405042
3606,457.9998,1450332000,457.9999,454.99989999,455,0.1477971,67.42862089,456.22424861
3607,452.10025444,1450339200,457.99989999,452.10019991,457.9998,0.08212069,37.27992369,453.96505668
3608,457.99989999,1450346400,457.99989999,452.10049676,452.10049676,0.00745267,3.37917178,453.41760539
3609,453.16472666,1450353600,455.99999993,453.164551,455.99999993,0.15325545,69.65585484,454.50817469
3610,456.99999993,1450360800,456.99999993,455.99,456.99999993,0.08287253,37.87242441,456.99611694
3611,452.66157481,1450368000,454.99999996,452.66157481,454.99999996,0.27042388,122.54619207,453.16335258
3612,452.20000001,1450375200,454.72999998,452.2,454.72999998,0.34697389,157.08902343,452.74018581
3613,452.200001,1450382400,452.200001,452.200001,452.200001,0.00511,2.310742,452.200001
3614,453.500001,1450389600,454.5,453.000001,453.000001,0.86423853,391.92372712,453.49022696
3615,453.75,1450396800,453.75,453.5,453.500001,0.34613219,156.97100496,453.50016409
3616,457.99989999,1450404000,457.99989999,453.99999993,453.99999993,0.2542401,115.82713845,455.58170584
3617,459.75,1450411200,459.75,453.000001,457.9998,1.63792593,745.84329241,455.35837656
